YEAR,MO,DY,HR,IT,IT clear,IT EXT,HREL
2020,12,9,7,65.73,67.58,130.67,4.03
2020,12,9,8,232.13,263.27,388.12,4.58
2020,12,9,9,384.6,440.85,600.95,5.8
2020,12,9,10,529.57,572.27,754.55,6.04
2020,12,9,11,521.18,627.15,838.4,6.04
2020,12,9,12,453.52,638.4,846.88,6.1
2020,12,9,13,346.91,585.08,779.33,6.29
2020,12,9,14,294.23,466.15,640.38,6.53
2020,12,9,15,222.88,298.5,439.52,6.71
2020,12,9,16,79.53,109.2,195.55,6.96
2020,12,9,17,0,0,0,7.14
2020,12,9,18,0,0,0,7.32
2020,12,9,19,0,0,0,7.39
2020,12,9,20,0,0,0,7.39
2020,12,9,21,0,0,0,7.32
2020,12,9,22,0,0,0,7.32
2020,12,9,23,0,0,0,7.39
2020,12,10,0,0,0,0,7.51
2020,12,10,1,0,0,0,7.57
2020,12,10,2,0,0,0,7.69
2020,12,10,3,0,0,0,7.81
2020,12,10,4,0,0,0,8.06
2020,12,10,5,0,0,0,8.18
2020,12,10,6,0,0,0,8.24
2020,12,10,7,29.89,61.23,127.52,8.06
2020,12,10,8,93.84,252.33,385,7.87
2020,12,10,9,113.21,429,598.15,7.57
2020,12,10,10,210.57,557.45,752.17,7.32
2020,12,10,11,196.64,628.6,836.58,7.51
2020,12,10,12,183.43,646.55,845.62,7.75
2020,12,10,13,160.12,586.62,778.67,7.87
2020,12,10,14,96.7,466.55,640.33,8.12
2020,12,10,15,77.7,298.08,439.95,7.93
2020,12,10,16,59.7,108.75,196.6,7.69
2020,12,10,17,0,0,0,7.51
2020,12,10,18,0,0,0,7.39
2020,12,10,19,0,0,0,7.32
2020,12,10,20,0,0,0,7.26
2020,12,10,21,0,0,0,7.02
2020,12,10,22,0,0,0,6.77
2020,12,10,23,0,0,0,6.65
2020,12,11,0,0,0,0,6.59
2020,12,11,1,0,0,0,6.47
2020,12,11,2,0,0,0,6.35
2020,12,11,3,0,0,0,6.1
2020,12,11,4,0,0,0,5.92
2020,12,11,5,0,0,0,5.62
2020,12,11,6,0,0,0,5.31
2020,12,11,7,67.96,67.15,124.48,5.19
2020,12,11,8,259.66,273.33,382,5.31
2020,12,11,9,445.09,458.5,595.5,4.33
2020,12,11,10,587.99,596.5,749.98,3.05
2020,12,11,11,675.77,675.83,834.9,2.38
2020,12,11,12,690.93,686.8,844.55,2.08
2020,12,11,13,637.23,630.95,778.2,1.95
2020,12,11,14,512.87,507.98,640.4,1.89
2020,12,11,15,337.73,331.77,440.55,2.01
2020,12,11,16,128.03,128.12,197.83,2.56
2020,12,11,17,0,0,0,3.17
2020,12,11,18,0,0,0,3.11
2020,12,11,19,0,0,0,3.05
2020,12,11,20,0,0,0,3.05
2020,12,11,21,0,0,0,2.99
2020,12,11,22,0,0,0,2.99
2020,12,11,23,0,0,0,3.05
2020,12,12,0,0,0,0,3.05
2020,12,12,1,0,0,0,3.05
2020,12,12,2,0,0,0,2.99
2020,12,12,3,0,0,0,2.99
2020,12,12,4,0,0,0,2.93
2020,12,12,5,0,0,0,2.81
2020,12,12,6,0,0,0,2.75
2020,12,12,7,68.72,68.38,121.55,2.75
2020,12,12,8,279.24,275.1,379.08,3.05
2020,12,12,9,465.27,461.88,592.9,3.23
2020,12,12,10,604.16,601.6,747.85,3.11
2020,12,12,11,681.37,677.12,833.35,2.81
2020,12,12,12,689.36,684.38,843.58,2.62
2020,12,12,13,630.22,623.7,777.85,2.62
2020,12,12,14,503.62,500.45,640.62,2.69
2020,12,12,15,326.8,325.58,441.27,2.75
2020,12,12,16,120.66,124.77,199.2,2.87
2020,12,12,17,0,0,0,3.11
2020,12,12,18,0,0,0,3.3
2020,12,12,19,0,0,0,3.42
2020,12,12,20,0,0,0,3.54
2020,12,12,21,0,0,0,3.6
2020,12,12,22,0,0,0,3.66
2020,12,12,23,0,0,0,3.66
2020,12,13,0,0,0,0,3.6
2020,12,13,1,0,0,0,3.6
2020,12,13,2,0,0,0,3.54
2020,12,13,3,0,0,0,3.48
2020,12,13,4,0,0,0,3.42
2020,12,13,5,0,0,0,3.42
2020,12,13,6,0,0,0,3.42
2020,12,13,7,70.41,66.7,118.73,3.36
2020,12,13,8,279.03,274.38,376.25,3.36
2020,12,13,9,467.7,462.83,590.42,2.87
2020,12,13,10,611.88,604.85,745.85,2.62
2020,12,13,11,693.52,688,831.9,2.38
2020,12,13,12,702.79,697.12,842.75,2.14
2020,12,13,13,644.04,637.48,777.62,1.89
2020,12,13,14,519.06,513.05,640.98,1.83
2020,12,13,15,342.38,335.73,442.12,1.77
2020,12,13,16,131.78,131.58,200.75,2.26
2020,12,13,17,0,0,0,2.2
2020,12,13,18,0,0,0,1.83
2020,12,13,19,0,0,0,1.65
2020,12,13,20,0,0,0,1.46
2020,12,13,21,0,0,0,1.34
2020,12,13,22,0,0,0,1.28
2020,12,13,23,0,0,0,1.28
2020,12,14,0,0,0,0,1.34
2020,12,14,1,0,0,0,1.46
2020,12,14,2,0,0,0,1.65
2020,12,14,3,0,0,0,1.77
2020,12,14,4,0,0,0,1.89
2020,12,14,5,0,0,0,1.95
2020,12,14,6,0,0,0,2.08
2020,12,14,7,63.8,64.83,116,2.26
2020,12,14,8,274.17,269.55,373.52,2.5
2020,12,14,9,459.57,454.75,588.08,2.99
2020,12,14,10,599.49,592.58,743.98,3.36
2020,12,14,11,671.12,668.98,830.6,3.17
2020,12,14,12,681.92,677.05,842.05,2.99
2020,12,14,13,622.94,618.15,777.55,3.05
2020,12,14,14,501.46,496.95,641.48,3.11
2020,12,14,15,329.58,324.12,443.12,3.11
2020,12,14,16,125.41,125.73,202.45,3.17
2020,12,14,17,0,0,0,3.42
2020,12,14,18,0,0,0,3.54
2020,12,14,19,0,0,0,3.66
2020,12,14,20,0,0,0,3.66
2020,12,14,21,0,0,0,3.6
2020,12,14,22,0,0,0,3.42
2020,12,14,23,0,0,0,3.23
2020,12,15,0,0,0,0,3.05
2020,12,15,1,0,0,0,2.93
2020,12,15,2,0,0,0,2.81
2020,12,15,3,0,0,0,2.69
2020,12,15,4,0,0,0,2.69
2020,12,15,5,0,0,0,2.69
2020,12,15,6,0,0,0,2.69
2020,12,15,7,65.4,61.83,113.4,2.69
2020,12,15,8,266.25,266.65,370.9,2.75
2020,12,15,9,456.77,454,585.83,2.38
2020,12,15,10,601.09,594.67,742.23,1.83
2020,12,15,11,679.22,673.98,829.42,1.53
2020,12,15,12,691.84,685.83,841.5,1.34
2020,12,15,13,636.73,630.35,777.62,1.28
2020,12,15,14,516.04,510.2,642.12,1.22
2020,12,15,15,342.64,336.05,444.25,1.22
2020,12,15,16,134.52,134.33,204.3,1.59
2020,12,15,17,0,0,0,1.95
2020,12,15,18,0,0,0,1.77
2020,12,15,19,0,0,0,1.77
2020,12,15,20,0,0,0,1.71
2020,12,15,21,0,0,0,1.71
2020,12,15,22,0,0,0,1.65
2020,12,15,23,0,0,0,1.59
2020,12,16,0,0,0,0,1.59
2020,12,16,1,0,0,0,1.59
2020,12,16,2,0,0,0,1.59
2020,12,16,3,0,0,0,1.59
2020,12,16,4,0,0,0,1.59
2020,12,16,5,0,0,0,1.59
2020,12,16,6,0,0,0,1.59
2020,12,16,7,65.06,64.08,110.9,1.59
2020,12,16,8,276.7,272.9,368.35,1.59
2020,12,16,9,467.14,461.85,583.7,1.59
2020,12,16,10,608.52,603.45,740.6,1.46
2020,12,16,11,686.19,682.33,828.4,1.22
2020,12,16,12,697.91,693.6,841.1,1.04
2020,12,16,13,640.28,636.2,777.83,0.98
2020,12,16,14,519.66,513.6,642.9,0.98
2020,12,16,15,344.63,337.98,445.52,1.04
2020,12,16,16,135.73,135.42,206.33,1.89
2020,12,16,17,0,0,0,1.83
2020,12,16,18,0,0,0,1.65
2020,12,16,19,0,0,0,1.53
2020,12,16,20,0,0,0,1.46
2020,12,16,21,0,0,0,1.4
2020,12,16,22,0,0,0,1.34
2020,12,16,23,0,0,0,1.4
2020,12,17,0,0,0,0,1.46
2020,12,17,1,0,0,0,1.53
2020,12,17,2,0,0,0,1.65
2020,12,17,3,0,0,0,1.71
2020,12,17,4,0,0,0,1.71
2020,12,17,5,0,0,0,1.71
2020,12,17,6,0,0,0,1.71
2020,12,17,7,60.95,60.67,108.52,1.77
2020,12,17,8,269.81,265.7,365.92,1.71
2020,12,17,9,457.19,452.48,581.7,1.71
2020,12,17,10,596.19,591.1,739.12,1.59
2020,12,17,11,663.94,670.58,827.5,1.77
2020,12,17,12,683.47,680.85,840.83,1.83
2020,12,17,13,625.64,623.58,778.17,1.83
2020,12,17,14,502.43,503.02,643.83,1.89
2020,12,17,15,321.55,330.45,446.92,2.01
2020,12,17,16,118.49,132,208.52,2.32
2020,12,17,17,0,0,0,2.69
2020,12,17,18,0,0,0,2.75
2020,12,17,19,0,0,0,2.75
2020,12,17,20,0,0,0,2.69
2020,12,17,21,0,0,0,2.69
2020,12,17,22,0,0,0,2.69
2020,12,17,23,0,0,0,2.75
2020,12,18,0,0,0,0,2.69
2020,12,18,1,0,0,0,2.75
2020,12,18,2,0,0,0,2.81
2020,12,18,3,0,0,0,2.99
2020,12,18,4,0,0,0,3.11
2020,12,18,5,0,0,0,3.3
2020,12,18,6,0,0,0,3.42
2020,12,18,7,33.8,56.67,106.25,3.54
2020,12,18,8,201.69,258.83,363.62,3.72
2020,12,18,9,345.95,445.73,579.8,3.6
2020,12,18,10,502.61,586.52,737.75,3.11
2020,12,18,11,620.35,666.77,826.75,2.69
2020,12,18,12,583.79,676.52,840.7,2.56
2020,12,18,13,502.62,621.02,778.67,2.56
2020,12,18,14,374.79,502.25,644.9,2.56
2020,12,18,15,237.91,330.65,448.45,2.62
2020,12,18,16,87.55,133.3,210.88,2.75
2020,12,18,17,0,0,0,2.93
2020,12,18,18,0,0,0,3.05
2020,12,18,19,0,0,0,3.05
2020,12,18,20,0,0,0,3.11
2020,12,18,21,0,0,0,3.17
2020,12,18,22,0,0,0,3.17
2020,12,18,23,0,0,0,3.23
2020,12,19,0,0,0,0,3.23
2020,12,19,1,0,0,0,3.23
2020,12,19,2,0,0,0,3.17
2020,12,19,3,0,0,0,3.11
2020,12,19,4,0,0,0,2.93
2020,12,19,5,0,0,0,2.81
2020,12,19,6,0,0,0,2.75
2020,12,19,7,61.84,59.52,104.08,2.69
2020,12,19,8,272.73,268.5,361.4,2.62
2020,12,19,9,464.96,460.58,578.02,2.26
2020,12,19,10,610.5,607.55,736.52,1.95
2020,12,19,11,694.69,689.98,826.1,1.53
2020,12,19,12,707.06,702.2,840.7,1.16
2020,12,19,13,650.2,643.67,779.3,1.04
2020,12,19,14,528.06,521.05,646.08,0.98
2020,12,19,15,351.74,344.5,450.1,1.04
2020,12,19,16,143.02,142.17,213.38,2.2
2020,12,19,17,0,0,0,1.83
2020,12,19,18,0,0,0,1.83
2020,12,19,19,0,0,0,1.83
2020,12,19,20,0,0,0,1.77
2020,12,19,21,0,0,0,1.65
2020,12,19,22,0,0,0,1.65
2020,12,19,23,0,0,0,1.59
2020,12,20,0,0,0,0,1.53
2020,12,20,1,0,0,0,1.46
2020,12,20,2,0,0,0,1.46
2020,12,20,3,0,0,0,1.4
2020,12,20,4,0,0,0,1.4
2020,12,20,5,0,0,0,1.4
2020,12,20,6,0,0,0,1.4
2020,12,20,7,53.94,57.05,102.02,1.46
2020,12,20,8,262.62,263.98,359.33,1.53
2020,12,20,9,457.08,455.02,576.38,1.53
